"","channelId","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"162","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","This is a bad commercial lol cmon Nike","This is a bad commercial lol cmon Nike","@5Mavericks","https://yt3.ggpht.com/ytc/AIdro_l3Bz6doyOqmxnbxC7YTPEYDkB4EqydIAMsbEUjvC3cQlxG46o=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@5Mavericks","UCoaqOabJ427e2AVId1Piq9Q","TRUE","none","2","2024-09-29T19:37:57Z","2024-09-29T19:37:57Z","UgynCBcyXQsT3eSFSvd4AaABAg",NA,NA
"163","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","Morant and Caitlin will see their first olympic gold medals in LA","Morant and Caitlin will see their first olympic gold medals in LA","@mathewmcfool","https://yt3.ggpht.com/ytc/AIdro_kNQ2Au_adKNt0Zw2vzzgsuA5UhxS8BQXDn_Y-G4rLMfuE=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@mathewmcfool","UC9MeKED_a7nSyuPpF9pzTCg","TRUE","none","23","2024-09-29T19:34:13Z","2024-09-29T19:34:29Z","Ugy5NZs2qZoruW2io594AaABAg",NA,NA
"164","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","Nice lil pr music","Nice lil pr music","@wellwithmysoul","https://yt3.ggpht.com/ytc/AIdro_kkziSrIl6YiDf4HygJZNT_wfiX5vSSWQKuEuRBEVU=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@wellwithmysoul","UCv48rTCJR69POHf2d1Jedcw","TRUE","none","1","2024-09-29T19:32:16Z","2024-09-29T19:32:16Z","Ugy5aMH9mB1Wl5DbfKR4AaABAg",NA,NA
"165","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","12 back 🐻","12 back 🐻","@evangelagyei","https://yt3.ggpht.com/85Yp_-bnfyP9enNtnXq8HgW_DCHWLpbjrNnjVuMGv6ieZpyhaOrxHJf-HYL-DXBGQ35y99C1KA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@evangelagyei","UCFrQHmZZdPNpcbwa2GqfU2A","TRUE","none","29","2024-09-29T19:20:52Z","2024-09-29T19:20:52Z","UgyrLg3mupjSJkLt3VJ4AaABAg",NA,NA
"166","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","there&#39;s a difference between getting knocked down and knockin yourself down","there's a difference between getting knocked down and knockin yourself down","@joshualelo","https://yt3.ggpht.com/ERPYEJkW0UHiGHS3uC4iz8q54SM_0BcW18eWMUL6zCQf2ZOnmdPvivMCg_o2J2Drl54yVM3Nsv4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@joshualelo","UCTl5Cn6pJD1fiBBYqW8Ea-w","TRUE","none","736","2024-09-29T19:10:45Z","2024-09-29T19:10:45Z","UgwwUCl7ZOL1TfHxWOB4AaABAg",NA,NA
"167","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","🫡🙏🏾👑","🫡🙏🏾👑","@maximuskalel6414","https://yt3.ggpht.com/HMFVgLJ16lgq6344uZN3kESSAUHF7aXlR-kkqH2g3NozSs7DPwjnuEJQ_HhuTWao6oBIjyOrKw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@maximuskalel6414","UCV5FG4FeeAYd19DFBvVmtog","TRUE","none","0","2024-09-29T18:59:11Z","2024-09-29T18:59:11Z","Ugwm_dT6PEIF0UEfXvN4AaABAg",NA,NA
"168","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","26th of october we see him coming back","26th of october we see him coming back","@marc5682","https://yt3.ggpht.com/mSFWHnoPUNEsrbEe8RVdFuTHWpvHlj7RgcWNnx6t4HVPzjlbVHXAvl5wDx79sEn3uFELT2Ub=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@marc5682","UCKkv-TaEdxDP9cRNGR2ktFA","TRUE","none","0","2024-09-29T18:53:30Z","2024-09-29T18:53:30Z","UgxUsq4hKyS19dm6nbV4AaABAg",NA,NA
"169","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","EARLYY","EARLYY","@Voltra318","https://yt3.ggpht.com/yLiMGzz2qh9wMEbd8MY47xOeGkwLTFL3HH9M-2Q8fCV1daD_QSZ8K1GAZQaiF__j7mgCsF2C=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Voltra318","UC-caV78qXSgZ1dCIYWxW4Qg","TRUE","none","0","2024-09-29T18:51:43Z","2024-09-29T18:51:43Z","UgxTWXutCXjmSF0CuIR4AaABAg",NA,NA
"170","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","Ja coming back with a vengeance this season","Ja coming back with a vengeance this season","@AdrianAzian","https://yt3.ggpht.com/ytc/AIdro_nMZG1nk1lTOd9FVxXCBrMKaDnZ7yOFSHLDP0kKCVg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@AdrianAzian","UC-8ar_cwW38f_p2x1WjMO5w","TRUE","none","172","2024-09-29T17:54:23Z","2024-09-29T17:54:23Z","UgxwfZEcA5O74mdcWVN4AaABAg",NA,NA
"171","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","Nike button","Nike button","@RoGzEe","https://yt3.ggpht.com/6CFmeaK616EVXvdeISsOjSCBE8-e_Mo6U7e0xrKQwoBnVMRqNkBblw2neMOh5kA5B3N5mGGOhA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@RoGzEe","UCyVpUsLUNV69dcmQr-yoJBA","TRUE","none","0","2024-09-29T17:46:22Z","2024-09-29T17:46:22Z","Ugx6v_n-o__4A-3uUnh4AaABAg",NA,NA
"172","UCUFgkRb0ZHc4Rpq15VRCICA","1-04z2uxxQ0","Why does the beginning look like he is sitting down in reverse ???","Why does the beginning look like he is sitting down in reverse ???","@maximilianott2584","https://yt3.ggpht.com/ytc/AIdro_mYQD8obnuUb2x4TgkzJ2ZSh3f8OBVt3wyYzzyDcKQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@maximilianott2584","UCZ8Boca1Dn9qvex132gNuSA","TRUE","none","59","2024-09-29T17:34:46Z","2024-09-29T17:34:46Z","UgzWKyIgqBXoieLzER14AaABAg",NA,NA
